file|algorithm|nLevels|rules_per_level
pseudo-real-english.001.2|GCX-y32|2|4:31-0,3:31-2474775,2:32-109114
pseudo-real-english.001.2|GCX-y2|1|3:2-0,2:2-3903
pseudo-real-english.001.2|GCX-y4|7|9:3-0,8:2-47093,7:2-424155,6:2-528455,5:2-422681,4:2-349074,3:2-297649,2:4-248227
pseudo-real-english.001.2|GC2|14|14:2-3903,13:2-87559,12:2-195256,11:2-166287,10:2-134619,9:2-116786,8:2-105542,7:2-95636,6:2-83216,5:2-66070,4:2-44698,3:2-25190,2:2-12798,1:2-6401
pseudo-real-english.001.2|GC4|7|7:4-87559,6:4-166287,5:4-116786,4:4-95636,3:4-66070,2:4-25190,1:4-6401
pseudo-real-english.001.2|GC8|5|5:8-195256,4:8-116786,3:8-83216,2:8-25190,1:8-3201
pseudo-real-english.001.2|GC16|4|4:16-166287,3:16-95636,2:16-25190,1:16-1601
pseudo-real-english.001.2|GC32|3|3:32-134619,2:32-66070,1:32-3201
pseudo-real-english.001.2|GC64|3|3:64-116786,2:64-25190,1:64-401
pseudo-real-english.001.2|GC128|2|2:128-105542,1:128-6401
